11466,we are concerned that inter-country adoption turns children into marketable commodities with a price on their head stork a 320-member group of parents who have adopted from abroad urged prospective adopters to take proper advice and avoid expensive lawyers . it would be nave to suppose that child trafficking does not go on . we believe the number of children being sold for adoption must be tiny
11467,the rough days of the early eighties are long past in el salvador a predominantly catholic country piously named after the saviour jesus christ and the rest of central america . despite the international outcry about the trafficking in children in central america which inter alia provoked a protest from the european parliament in 1988 the trade today is much better organised much smoother and much more profitable . el salvador is a country where there are no adoption organisations where civilised norms are daily flouted where the law is for sale and where any official document can be counterfeited for a modest price
3006501,human rights watch asia published a report on the problem in pakistan last july . contemporary forms of slavery which are set forth and defined in international law include debt-bondage serfdom the trafficking of women and child servitude . all of these forms of slavery exist in pakistan it said
4012905,i still have his watch i am wearing it now . later i was moved to another cell with all kinds of people traffickers thieves murderers . there every friday was a day of fear
4010891,and the child prostitutes of costa rica . what this film does not consider probably because it is too busy simply reporting the grim story of child exploitation around the world is the parents part in the trafficking of children . in many instances of course children are kidnapped but often enough it seems the parents are willing participants in a heartless transaction whose chief motive is quick profit
6005892,the racket which generated tens of thousands of pounds for the trio was broken when police launched an undercover investigation after spotting a card in a telephone box advertising a blonde russian kitten . the investigation threw up alarming information about the numbers of trafficked women involved in the capital sex trade . a police survey of flats used by soho prostitutes found that 60 per cent were occupied by women of east european origin
6003116,the illegal drug trade supplying 200 million customers is worth around pounds 250 billion or 8 per cent of world trade . another growth industry is trafficking in women and girls for the sex industry . it is now a business worth pounds 5 billion a year
7046873,only around 4 per cent originate from within the uk . it is like trafficking women . the same economics and geography applies jauch said
7041252,five were in a critical condition . un boost for women rights a un women conference in new york approved measures to combat violence against women and called for action against aids and trafficking in women and an end to the gender gap in schools . car bomb in cape town a car bomb rocked a cape town cafe on saturday night injuring three people three weeks after police defused a device in the same area
7043367,he had a few possessions a little money and almost no idea of what his itinerary would be . he was close relatives told the observer last week entirely in the hands of the sh e tau or snakeheads the local gang leaders who run the human trafficking trade . his family had paid them the equivalent of pounds 14 000 to get chen lin to the uk
7032719,the dover immigrant tragedy has overshadowed another not entirely unrelated horror story the revelation that illegal migrant workers are being employed under the gang labour system in exploitative conditions to supply vegetables to some major supermarket chains . the trafficking of people is not merely criminal profiteering in the evasion of immigration controls it is effectively a rebirth of the slave trade since many illicit migrant workers are employed in exploitative conditions and for obvious reasons are unlikely to complain . the problem requires more than the review of the rules on asylum seekers that nick hardwick advocates
7035374,there is no suggestion that either site is involved in or has any knowledge of the trafficking operations . the emerging role of the net is certain to increase calls for a europe-wide crackdown on gangs involved in the trafficking of women . ncis believes that most of the women being offered for sale on the internet are already working in the sex industry and are willing participants in the trade
7010556,moves to protect the poor from financial exploitation will be promoted as the next stage of labour anti-poverty drive . the government is also interested in calls to make the trafficking of women for sexual exploitation a criminal offence to prevent women being forced into prostitution . gaby
7062948,these groups hope to combat a phenomenon that according to the organisation for security and co-operation in europe has swept up something like 500 000 russian women in the past decade although the trade clandestine nature makes it impossible to estimate accurately the numbers . activists say that despite its scale human trafficking is still not treated seriously by the russian government . there is a great reluctance to recognise and address this problem said one of the conference organisers who also requested anonymity
