19836,dateline halifax ns atlantic bureau a german landscaper who says he was not aware that smuggling people into canada was a serious crime was sentenced to 15 months in jail and fined 5 000 dollar yesterday for trying to bring 13 sikhs into halifax on a polish container ship last month . provincial court judge albert bremner told christian muhme 29 who had no previous criminal record that he hoped the sentence would deter the human misery in the trafficking of human beings mr muhme lawyer lee cohen told the sentencing hearing that his client had never before been involved in such activity and agreed to it because he saw it as a chance to make some money and to help the sikhs escape persecution in india . he knew it smuggling of people was not legal but he had no idea he was getting himself involved in anything that canada considered so severe and so serious mr cohen said
37633,in an interview the chongqing women federation said that even if a woman is sold if she puts up with it then it is legal under the marriage law in an actual case described in confidential documents authorities accused an abducted woman of bigamy . it turned out she was already married but had resigned herself to living with her new husband china economic boom of the 1980s has made trafficking in women a big business . in contrast to the the old days gangs operate far-flung networks transporting victims to distant provinces where they can not speak the local dialect ... even if she wanted to run away she could not her husband 62-year- old aunt said with a satisfied chuckle . where would she run to trafficking in women has flourished because of classic supply and demand . for the middle man there is low overhead high profit and minimal risk
37792,trafficking in women a sad fact of modern china stolen lives despite their pleas for help efforts to rescue young women sold for marriage are often blocked by authorities . dateline beijing china china bureau beijing the letter to the pu yang county women association looked like a ransom note but it was really a desperate plea for help ... but instead of sending the police in openly the women association had to concoct an elaborate rescue plan . trafficking in women sometimes occurs with official complicity and village police and communist party cadres frequently ignore pleas for help . in some cases they even obstruct rescue efforts
156049,and they must be presented in a context that allows the other side some airtime usually in a panel discussion or interview right after the screening of the film . starowicz is producer of a series called witness returning to the air in november which will showcase one-hour documentaries on controversial subjects such as the right to die logging versus native land claims and the medical trafficking in children organs . it is his series that is offering kanehsatake a two- part screening as long as it is followed by the obligatory panel discussion
226260,news briefing thais accused of sex trafficking . dateline new york ny the international human rights watch accused thailand yesterday of allowing sex traffickers to lure burmese girls as young as 13 into the country often with the direct involvement of thai police or border guards and to force them into prostitution . a modern form of slavery said about 20 000 burmese girls and women work in thai brothels and said the thai government is ultimately guilty of complicity in the trafficking of burmese women and girls into thailand for forced prostitution thai spokesman abhisit vejajiva did not deny that some officials might be involved but said thailand is changing its national police force to improve supervision of local
242826,witnesses said there were no reliable overall estimates but they tallied 800 000 young people involved in prostitution in thailand 400 000 in india 70 000 in taiwan 40 000 in the philippines 30 000 in sri lanka and 25 000 in brazil amazon mining camps . mr shattuck said new us actions would include instructions to embassies that visas be denied to government officials or police involved in the trafficking of women and children inclusion of women rights as part of us military training for foreign soldiers and police and increased diplomatic efforts to get other countries to attack the problem .
202749,he is moonlighting as the village main broker for abducted brides . trafficking in women is of course illegal but business is so brisk that the local peasants have dubbed the communist party office the commodity exchange like a feudal overlord mr shen in his 40s has also reserved for himself the ancient right of first night . all the kidnapped women must spend the first night with him in his office
250513,the agency also said sex tourism and pornography involving children is flourishing especially on the internet . the sale and trafficking of children across national borders by organized networks is another area that is worsening the organization says . children are trafficked for prostitution and for dangerous work in construction factories and for domestic service . the end of the cold war made movement across borders easier including the trafficking of children according to a 1995 report by the united nations commission on human rights . the agency has seen a resurgence of child labour in developed countries in eastern and central europe due to economies by the transition to a market
245145,gangs are abducting young female refugees from kosovo and forcing them into prostitution particularly in albania the un high commissioner for refugees reported yesterday . human traffickers are a serious threat especially in albania sadako ogata told the united nations security council . they have already started smuggling refugees across the adriatic into italy and the european union
236173,the ilo pact will come into force after two states have ratified it . it aims to protect those under 18 by targeting child slavery forced labour trafficking debt bondage serfdom prostitution pornography and exploitative work in dangerous industries . it urges states to enforce the pact by removing children from harmful work and providing rehabilitation as well as basic free education or vocational training
232459,the guerrilla group has long been accused of being active in the drug trade both in kurdish regions and in europe . he also acknowledged that the pkk may have been involved in human trafficking arranging for kurds to get citizenship in european countries in exchange for part of their salaries . mr ocalan said his group had an income of 250 dollar-million us but it was not clear whether that was the pkk annual revenue or the total money at its disposal
337958,trafficking in women . dateline geneva switzerland smuggling of women from central and eastern europe for prostitution in wealthy western countries is increasing the international organization for migration said yesterday
332952,dateline toronto ont the globe and mail toronto thousands of nepalese women and girls are sold into a life of prostitution in india every year and kept in conditions tantamount to slavery a report by human rights watch says . in india red-light districts there an increasing demand for nepali girls especially virgins with fair skin and mongolian features according to the report titled rape for profit trafficking of girls and nepali women to indian brothels . estimates put the number of nepali girls and women now working in indian brothels at about 200 000 with between 5 000 and 7 000 new nepalis ending up in indian brothels every year ... many return to nepal infected with the aids virus . the human rights watch or asia report is largely based on interviews with trafficking victims most of them nepali women in their 20s who were sent to india as teen-agers or older women in bombay who were still involved in the industry . because people pass freely between india and nepal it is difficult for the border police to check illegal activity the report says adding that in nepal border police are bribed to allow traffickers to get the girls to india
